Ledger_Number,Ledger_Date,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
91882995,2024-11-04T12:45:31.000Z,28,15.0,14.178571428571429,20.0,10.0,397.0
91883495,2024-11-04T13:17:42.000Z,46,10.0,21.565217391304348,150.0,10.0,992.0
91883995,2024-11-04T13:50:31.000Z,19,15.0,17.736842105263158,30.0,10.0,337.0
91884495,2024-11-04T14:23:10.000Z,36,15.0,13.777777777777779,20.0,10.0,496.0
91884995,2024-11-04T14:55:41.000Z,36,15.0,16.5,30.0,10.0,594.0
91885495,2024-11-04T15:28:11.000Z,30,13.5,13.366666666666667,20.0,10.0,401.0
91885995,2024-11-04T16:01:02.000Z,26,10.0,13.076923076923077,20.0,10.0,340.0
91886495,2024-11-04T16:33:52.000Z,27,15.0,19.77777777777778,150.0,10.0,534.0
91886995,2024-11-04T17:06:40.000Z,22,15.0,15.227272727272727,20.0,10.0,335.0
91887495,2024-11-04T17:39:20.000Z,36,15.0,26.11111111111111,150.0,10.0,940.0
91887995,2024-11-04T18:11:42.000Z,22,15.0,15.454545454545455,20.0,10.0,340.0
91888495,2024-11-04T18:44:22.000Z,40,13.5,17.05,150.0,10.0,682.0
91888995,2024-11-04T19:17:01.000Z,20,15.0,538.8,5286.0,10.0,10776.0
91889495,2024-11-04T19:49:51.000Z,29,15.0,14.793103448275861,20.0,10.0,429.0
91889995,2024-11-04T20:22:31.000Z,45,12.0,13.244444444444444,20.0,10.0,596.0
91890495,2024-11-04T20:55:22.000Z,57,12.0,13.947368421052632,30.0,10.0,795.0
91890995,2024-11-04T21:28:11.000Z,35,15.0,13.4,20.0,10.0,469.0
91891495,2024-11-04T22:01:02.000Z,41,12.0,21.341463414634145,221.0,10.0,875.0
91891995,2024-11-04T22:33:50.000Z,37,15.0,16.10810810810811,30.0,10.0,596.0
91892495,2024-11-04T23:06:31.000Z,34,10.0,17.058823529411764,150.0,10.0,580.0
91892995,2024-11-04T23:39:20.000Z,27,15.0,16.296296296296298,30.0,10.0,440.0
91893495,2024-11-05T00:12:02.000Z,28,15.0,14.464285714285714,20.0,10.0,405.0
91893995,2024-11-05T00:44:52.000Z,25,15.0,21.2,150.0,10.0,530.0
91894495,2024-11-05T01:17:31.000Z,45,15.0,15.044444444444444,30.0,10.0,677.0
91894995,2024-11-05T01:50:02.000Z,24,15.0,477.0833333333333,5645.0,10.0,11450.0
91895495,2024-11-05T02:22:30.000Z,22,15.0,27.318181818181817,150.0,10.0,601.0
91895995,2024-11-05T02:55:01.000Z,23,15.0,31.956521739130434,150.0,10.0,735.0
91896495,2024-11-05T03:27:40.000Z,20,15.0,16.45,20.0,12.0,329.0
91896995,2024-11-05T04:00:10.000Z,46,15.0,16.456521739130434,150.0,10.0,757.0
91897495,2024-11-05T04:32:22.000Z,56,10.0,13.767857142857142,30.0,10.0,771.0
91897995,2024-11-05T05:05:00.000Z,32,12.0,17.84375,100.0,10.0,571.0
91898495,2024-11-05T05:37:42.000Z,17,10.0,13.058823529411764,20.0,10.0,222.0
91898995,2024-11-05T06:10:31.000Z,21,15.0,20.80952380952381,150.0,10.0,437.0
91899495,2024-11-05T06:43:01.000Z,22,15.0,14.545454545454545,20.0,10.0,320.0
91899995,2024-11-05T07:15:40.000Z,37,15.0,15.378378378378379,30.0,10.0,569.0
91900495,2024-11-05T07:48:12.000Z,27,15.0,14.962962962962964,20.0,10.0,404.0
91900995,2024-11-05T08:20:42.000Z,24,15.0,15.166666666666666,20.0,10.0,364.0
91901495,2024-11-05T08:53:11.000Z,31,15.0,16.387096774193548,43.0,10.0,508.0
91901995,2024-11-05T09:25:22.000Z,26,15.0,211.76923076923077,5129.0,10.0,5506.0
91902495,2024-11-05T09:57:21.000Z,22,15.0,15.681818181818182,20.0,10.0,345.0
91902995,2024-11-05T10:29:41.000Z,14,15.0,15.285714285714286,20.0,10.0,214.0
91903495,2024-11-05T11:02:21.000Z,19,15.0,14.68421052631579,20.0,10.0,279.0
91903995,2024-11-05T11:35:10.000Z,42,10.0,269.26190476190476,5383.0,10.0,11309.0
91904495,2024-11-05T12:08:00.000Z,22,15.0,20.0,100.0,15.0,440.0
91904995,2024-11-05T12:40:31.000Z,12,15.0,15.0,20.0,10.0,180.0
91905495,2024-11-05T13:13:00.000Z,21,15.0,14.523809523809524,20.0,10.0,305.0
91905995,2024-11-05T13:45:20.000Z,23,15.0,14.521739130434783,20.0,10.0,334.0
91906495,2024-11-05T14:17:51.000Z,20,15.0,15.35,20.0,10.0,307.0
91906995,2024-11-05T14:50:42.000Z,35,15.0,32.4,177.0,10.0,1134.0
91907495,2024-11-05T15:23:32.000Z,46,12.5,502.89130434782606,5775.0,10.0,23133.0
91907995,2024-11-05T15:56:32.000Z,33,15.0,18.78787878787879,150.0,10.0,620.0
91908495,2024-11-05T16:29:30.000Z,27,15.0,14.407407407407407,20.0,10.0,389.0
91908995,2024-11-05T17:02:11.000Z,43,15.0,18.6046511627907,221.0,10.0,800.0
91909495,2024-11-05T17:34:52.000Z,24,15.0,18.041666666666668,100.0,10.0,433.0
91909995,2024-11-05T18:07:42.000Z,42,13.5,13.142857142857142,20.0,10.0,552.0
91910495,2024-11-05T18:40:40.000Z,22,15.0,14.227272727272727,20.0,10.0,313.0
91910995,2024-11-05T19:13:31.000Z,20,15.0,14.6,20.0,10.0,292.0
91911495,2024-11-05T19:46:11.000Z,39,10.0,12.64102564102564,20.0,10.0,493.0
91911995,2024-11-05T20:19:12.000Z,18,15.0,15.5,20.0,10.0,279.0
91912495,2024-11-05T20:52:01.000Z,42,15.0,15.595238095238095,30.0,10.0,655.0
91912995,2024-11-05T21:24:42.000Z,34,15.0,26.205882352941178,150.0,10.0,891.0
91913495,2024-11-05T21:57:31.000Z,34,13.5,13.352941176470589,20.0,10.0,454.0
91913995,2024-11-05T22:30:11.000Z,36,15.0,13.694444444444445,20.0,10.0,493.0
91914495,2024-11-05T23:02:52.000Z,30,10.0,15.833333333333334,100.0,10.0,475.0
91914995,2024-11-05T23:35:12.000Z,25,15.0,17.56,30.0,12.0,439.0
91915495,2024-11-06T00:07:41.000Z,30,12.0,13.133333333333333,20.0,10.0,394.0
91915995,2024-11-06T00:40:01.000Z,41,15.0,18.926829268292682,221.0,10.0,776.0
91916495,2024-11-06T01:12:42.000Z,45,15.0,13.6,20.0,10.0,612.0
91916995,2024-11-06T01:45:31.000Z,46,15.0,22.67391304347826,221.0,10.0,1043.0
91917495,2024-11-06T02:18:01.000Z,50,12.0,19.8,221.0,10.0,990.0
91917995,2024-11-06T02:50:50.000Z,36,10.0,13.25,30.0,10.0,477.0
91918495,2024-11-06T03:23:52.000Z,21,15.0,17.0,30.0,10.0,357.0
91918995,2024-11-06T03:56:52.000Z,39,15.0,17.666666666666668,100.0,10.0,689.0
91919495,2024-11-06T04:29:40.000Z,42,15.0,16.738095238095237,150.0,10.0,703.0
91919995,2024-11-06T05:02:12.000Z,57,15.0,25.210526315789473,221.0,10.0,1437.0
91920495,2024-11-06T05:34:52.000Z,39,10.0,15.384615384615385,100.0,10.0,600.0
91920995,2024-11-06T06:07:20.000Z,35,15.0,16.714285714285715,30.0,10.0,585.0
91921495,2024-11-06T06:40:00.000Z,42,15.0,13.619047619047619,20.0,10.0,572.0
91921995,2024-11-06T07:12:42.000Z,23,15.0,15.782608695652174,20.0,10.0,363.0
91922495,2024-11-06T07:45:30.000Z,44,15.0,1230.0,6329.0,10.0,54120.0
91922995,2024-11-06T08:18:31.000Z,40,15.0,24.8,150.0,10.0,992.0
91923495,2024-11-06T08:51:10.000Z,28,15.0,14.535714285714286,20.0,10.0,407.0
91923995,2024-11-06T09:23:51.000Z,26,15.0,25.076923076923077,150.0,10.0,652.0
91924495,2024-11-06T09:56:11.000Z,35,15.0,25.857142857142858,150.0,10.0,905.0
91924995,2024-11-06T10:28:52.000Z,21,15.0,15.333333333333334,20.0,10.0,322.0
91925495,2024-11-06T11:01:42.000Z,20,15.0,15.35,20.0,10.0,307.0
91925995,2024-11-06T11:34:20.000Z,23,15.0,21.47826086956522,152.0,10.0,494.0
91926495,2024-11-06T12:07:01.000Z,19,10.0,20.263157894736842,150.0,10.0,385.0
91926995,2024-11-06T12:39:50.000Z,41,15.0,14.365853658536585,30.0,10.0,589.0
91927495,2024-11-06T13:12:30.000Z,47,15.0,17.97872340425532,150.0,10.0,845.0
91927995,2024-11-06T13:45:11.000Z,30,15.0,23.866666666666667,221.0,10.0,716.0
91928495,2024-11-06T14:17:40.000Z,27,15.0,27.14814814814815,221.0,10.0,733.0
91928995,2024-11-06T14:50:11.000Z,45,10.0,15.022222222222222,150.0,10.0,676.0
91929495,2024-11-06T15:22:50.000Z,20,15.0,16.0,20.0,10.0,320.0
91929995,2024-11-06T15:55:20.000Z,26,13.5,29.115384615384617,150.0,10.0,757.0
91930495,2024-11-06T16:28:01.000Z,36,15.0,16.52777777777778,30.0,10.0,595.0
91930995,2024-11-06T17:00:51.000Z,23,15.0,15.130434782608695,20.0,10.0,348.0
91931495,2024-11-06T17:33:41.000Z,39,10.0,12.179487179487179,20.0,10.0,475.0
91931995,2024-11-06T18:06:31.000Z,21,15.0,16.428571428571427,20.0,10.0,345.0
91932495,2024-11-06T18:38:42.000Z,27,15.0,15.222222222222221,20.0,10.0,411.0
91932995,2024-11-06T19:11:11.000Z,39,15.0,26.128205128205128,221.0,12.0,1019.0
91933495,2024-11-06T19:43:30.000Z,12,15.0,16.833333333333332,20.0,12.0,202.0
91933995,2024-11-06T20:16:20.000Z,51,12.0,14.0,30.0,10.0,714.0
91934495,2024-11-06T20:48:51.000Z,24,15.0,14.083333333333334,20.0,10.0,338.0
91934995,2024-11-06T21:21:21.000Z,29,15.0,15.758620689655173,30.0,10.0,457.0
91935495,2024-11-06T21:54:00.000Z,36,12.0,13.444444444444445,20.0,10.0,484.0
91935995,2024-11-06T22:26:20.000Z,17,15.0,15.294117647058824,30.0,10.0,260.0
91936495,2024-11-06T22:58:52.000Z,40,15.0,20.925,100.0,10.0,837.0
91936995,2024-11-06T23:31:31.000Z,44,15.0,21.613636363636363,100.0,10.0,951.0
91937495,2024-11-07T00:04:11.000Z,49,15.0,226.81632653061226,5150.0,10.0,11114.0
91937995,2024-11-07T00:36:32.000Z,34,15.0,23.529411764705884,100.0,10.0,800.0
91938495,2024-11-07T01:09:12.000Z,55,15.0,23.21818181818182,221.0,10.0,1277.0
91938995,2024-11-07T01:41:51.000Z,37,15.0,18.945945945945947,221.0,10.0,701.0
91939495,2024-11-07T02:14:21.000Z,26,15.0,416.4230769230769,5249.0,10.0,10827.0
91939995,2024-11-07T02:47:00.000Z,26,15.0,16.115384615384617,30.0,10.0,419.0
91940495,2024-11-07T03:19:42.000Z,60,15.0,973.9,6049.0,10.0,58434.0
91940995,2024-11-07T03:52:40.000Z,44,15.0,13.5,20.0,10.0,594.0
91941495,2024-11-07T04:25:30.000Z,39,15.0,14.846153846153847,30.0,10.0,579.0
91941995,2024-11-07T04:58:00.000Z,33,15.0,914.7878787878788,29707.0,10.0,30188.0
91942495,2024-11-07T05:30:10.000Z,37,15.0,14.72972972972973,20.0,10.0,545.0
91942995,2024-11-07T06:02:20.000Z,47,15.0,19.404255319148938,150.0,10.0,912.0
91943495,2024-11-07T06:34:21.000Z,23,10.0,12.91304347826087,20.0,10.0,297.0
91943995,2024-11-07T07:06:31.000Z,15,15.0,17.066666666666666,30.0,12.0,256.0
91944495,2024-11-07T07:38:22.000Z,24,15.0,38.5,150.0,12.0,924.0
91944995,2024-11-07T08:10:11.000Z,21,15.0,16.428571428571427,20.0,15.0,345.0
91945495,2024-11-07T08:42:32.000Z,15,20.0,44.86666666666667,150.0,12.0,673.0
91945995,2024-11-07T09:14:50.000Z,20,15.0,15.05,20.0,10.0,301.0
91946495,2024-11-07T09:46:42.000Z,32,13.5,13.40625,20.0,10.0,429.0
91946995,2024-11-07T10:19:01.000Z,15,15.0,16.4,20.0,15.0,246.0
91947495,2024-11-07T10:51:40.000Z,28,15.0,14.357142857142858,20.0,10.0,402.0
91947995,2024-11-07T11:24:11.000Z,24,15.0,16.041666666666668,20.0,10.0,385.0
91948495,2024-11-07T11:56:32.000Z,45,10.0,18.822222222222223,150.0,10.0,847.0
91948995,2024-11-07T12:28:52.000Z,21,15.0,15.619047619047619,20.0,12.0,328.0
91949495,2024-11-07T13:01:12.000Z,31,15.0,14.03225806451613,20.0,10.0,435.0
91949995,2024-11-07T13:33:02.000Z,27,15.0,15.074074074074074,20.0,10.0,407.0
91950495,2024-11-07T14:05:02.000Z,29,15.0,15.344827586206897,20.0,10.0,445.0
91950995,2024-11-07T14:37:51.000Z,30,15.0,14.833333333333334,20.0,10.0,445.0
91951495,2024-11-07T15:10:21.000Z,13,15.0,13.76923076923077,20.0,10.0,179.0
91951995,2024-11-07T15:43:10.000Z,18,15.0,16.27777777777778,20.0,12.0,293.0
91952495,2024-11-07T16:15:51.000Z,36,12.0,16.97222222222222,150.0,10.0,611.0
91952995,2024-11-07T16:48:22.000Z,28,15.0,27.964285714285715,198.0,10.0,783.0
91953495,2024-11-07T17:21:20.000Z,21,15.0,16.142857142857142,20.0,12.0,339.0
91953995,2024-11-07T17:53:52.000Z,23,15.0,21.82608695652174,150.0,12.0,502.0
91954495,2024-11-07T18:26:31.000Z,36,15.0,19.583333333333332,150.0,10.0,705.0
91954995,2024-11-07T18:59:02.000Z,12,20.0,19.166666666666668,30.0,10.0,230.0
91955495,2024-11-07T19:31:32.000Z,17,15.0,16.470588235294116,20.0,10.0,280.0
91955995,2024-11-07T20:04:10.000Z,12,15.0,16.0,20.0,10.0,192.0
91956495,2024-11-07T20:36:41.000Z,25,15.0,15.52,20.0,10.0,388.0
91956995,2024-11-07T21:09:30.000Z,55,11.0,22.672727272727272,150.0,10.0,1247.0
91957495,2024-11-07T21:41:50.000Z,37,10.0,12.837837837837839,20.0,10.0,475.0
91957995,2024-11-07T22:13:40.000Z,23,15.0,15.652173913043478,20.0,12.0,360.0
91958495,2024-11-07T22:46:11.000Z,34,13.5,14.352941176470589,30.0,10.0,488.0
91958995,2024-11-07T23:18:21.000Z,10,10.0,11.4,20.0,10.0,114.0
91959495,2024-11-07T23:51:00.000Z,20,15.0,16.05,30.0,10.0,321.0
91959995,2024-11-08T00:23:10.000Z,28,11.0,207.82142857142858,5365.0,10.0,5819.0
91960495,2024-11-08T00:55:20.000Z,20,12.0,12.95,20.0,10.0,259.0
91960995,2024-11-08T01:27:11.000Z,10,15.5,55.8,150.0,12.0,558.0
91961495,2024-11-08T01:59:10.000Z,12,10.0,11.0,20.0,10.0,132.0
91961995,2024-11-08T02:31:00.000Z,28,15.0,13.571428571428571,20.0,10.0,380.0
91962495,2024-11-08T03:02:52.000Z,28,11.0,14.357142857142858,30.0,10.0,402.0
91962995,2024-11-08T03:34:31.000Z,6,16.0,59.333333333333336,150.0,12.0,356.0
91963495,2024-11-08T04:06:30.000Z,14,15.0,30.928571428571427,221.0,12.0,433.0
91963995,2024-11-08T04:38:40.000Z,14,15.0,17.142857142857142,30.0,10.0,240.0
91964495,2024-11-08T05:11:11.000Z,20,15.0,14.4,30.0,10.0,288.0
91964995,2024-11-08T05:42:30.000Z,6,11.0,12.833333333333334,20.0,10.0,77.0
91965495,2024-11-08T06:13:31.000Z,3,15.0,14.0,15.0,12.0,42.0
91965995,2024-11-08T06:44:41.000Z,6,10.0,11.666666666666666,20.0,10.0,70.0
91966495,2024-11-08T07:16:11.000Z,20,15.0,14.45,15.0,11.0,289.0
91966995,2024-11-08T07:47:50.000Z,13,15.0,16.76923076923077,30.0,12.0,218.0
91967495,2024-11-08T08:20:21.000Z,16,17.5,19.375,30.0,15.0,310.0
91967995,2024-11-08T08:53:01.000Z,28,15.0,16.785714285714285,30.0,10.0,470.0
91968495,2024-11-08T09:25:40.000Z,19,15.0,18.263157894736842,30.0,10.0,347.0
91968995,2024-11-08T09:57:51.000Z,21,15.0,15.238095238095237,20.0,10.0,320.0
91969495,2024-11-08T10:30:30.000Z,37,15.0,14.783783783783784,20.0,10.0,547.0
91969995,2024-11-08T11:03:00.000Z,20,15.0,15.35,20.0,10.0,307.0
91970495,2024-11-08T11:35:10.000Z,15,15.0,14.933333333333334,20.0,10.0,224.0
91970995,2024-11-08T12:07:20.000Z,21,15.0,16.0,20.0,12.0,336.0
91971495,2024-11-08T12:39:41.000Z,13,10.0,23.0,150.0,10.0,299.0
91971995,2024-11-08T13:11:22.000Z,6,15.0,15.333333333333334,20.0,12.0,92.0
91972495,2024-11-08T13:43:30.000Z,47,10.0,11.361702127659575,20.0,10.0,534.0
91972995,2024-11-08T14:16:01.000Z,15,15.0,17.0,20.0,15.0,255.0
91973495,2024-11-08T14:48:30.000Z,27,15.0,15.37037037037037,30.0,10.0,415.0
91973995,2024-11-08T15:21:01.000Z,34,15.0,22.264705882352942,150.0,10.0,757.0
91974495,2024-11-08T15:53:21.000Z,19,10.0,11.736842105263158,20.0,10.0,223.0
91974995,2024-11-08T16:25:32.000Z,18,11.0,16.055555555555557,30.0,10.0,289.0
91975495,2024-11-08T16:57:52.000Z,15,30.0,63.13333333333333,150.0,11.0,947.0
91975995,2024-11-08T17:30:41.000Z,43,10.0,11.744186046511627,21.0,10.0,505.0
91976495,2024-11-08T18:03:01.000Z,20,10.0,11.3,21.0,10.0,226.0
91976995,2024-11-08T18:35:20.000Z,31,5951.0,7893.451612903225,100001.0,10.0,244697.0
91977495,2024-11-08T19:07:32.000Z,14,10.0,14.571428571428571,30.0,10.0,204.0
91977995,2024-11-08T19:39:31.000Z,17,10.0,11.176470588235293,20.0,10.0,190.0
91978495,2024-11-08T20:12:01.000Z,15,10.0,12.133333333333333,15.0,10.0,182.0
91978995,2024-11-08T20:44:22.000Z,15,15.0,18.266666666666666,30.0,10.0,274.0
91979495,2024-11-08T21:16:32.000Z,31,15.0,17.548387096774192,150.0,10.0,544.0
91979995,2024-11-08T21:48:31.000Z,25,15.0,13.84,20.0,10.0,346.0
91980495,2024-11-08T22:20:52.000Z,23,10.0,10.73913043478261,20.0,10.0,247.0
91980995,2024-11-08T22:52:42.000Z,11,10.0,12.0,15.0,10.0,132.0
91981495,2024-11-08T23:24:40.000Z,10,10.0,15.0,30.0,10.0,150.0
91981995,2024-11-08T23:55:52.000Z,23,10.0,13.695652173913043,30.0,10.0,315.0
91982495,2024-11-09T00:27:51.000Z,10,15.0,14.9,20.0,12.0,149.0
91982995,2024-11-09T01:00:10.000Z,32,11.0,14.125,66.0,10.0,452.0
91983495,2024-11-09T01:32:30.000Z,23,15.0,16.130434782608695,30.0,12.0,371.0
91983995,2024-11-09T02:04:41.000Z,36,15.0,13.833333333333334,20.0,10.0,498.0
91984495,2024-11-09T02:37:00.000Z,8,10.0,10.25,12.0,10.0,82.0
91984995,2024-11-09T03:09:01.000Z,21,10.0,11.523809523809524,15.0,10.0,242.0
91985495,2024-11-09T03:41:31.000Z,18,10.0,34.111111111111114,150.0,10.0,614.0
91985995,2024-11-09T04:13:41.000Z,12,10.0,13.5,30.0,10.0,162.0
91986495,2024-11-09T04:45:31.000Z,18,10.0,11.722222222222221,21.0,10.0,211.0
91986995,2024-11-09T05:17:50.000Z,5,10.0,11.4,15.0,10.0,57.0
91987495,2024-11-09T05:49:30.000Z,14,13.5,15.071428571428571,20.0,10.0,211.0
91987995,2024-11-09T06:22:01.000Z,11,10.0,12.181818181818182,20.0,10.0,134.0
91988495,2024-11-09T06:53:42.000Z,6,12.0,17.333333333333332,30.0,10.0,104.0
91988995,2024-11-09T07:25:20.000Z,6,10.0,10.0,10.0,10.0,60.0
91989495,2024-11-09T07:57:42.000Z,38,10.0,1038.842105263158,5927.0,10.0,39476.0
91989995,2024-11-09T08:30:21.000Z,22,15.0,21.636363636363637,150.0,10.0,476.0
91990495,2024-11-09T09:02:40.000Z,13,10.0,16.923076923076923,70.0,10.0,220.0
91990995,2024-11-09T09:34:22.000Z,21,10.0,12.476190476190476,20.0,10.0,262.0
91991495,2024-11-09T10:06:30.000Z,17,15.0,37.411764705882355,150.0,10.0,636.0
91991995,2024-11-09T10:37:52.000Z,23,15.0,15.956521739130435,30.0,10.0,367.0
91992495,2024-11-09T11:10:01.000Z,40,10.0,145.3,5079.0,10.0,5812.0
91992995,2024-11-09T11:41:42.000Z,26,15.0,14.923076923076923,30.0,10.0,388.0
91993495,2024-11-09T12:13:42.000Z,12,10.0,23.583333333333332,150.0,10.0,283.0
91993995,2024-11-09T12:45:51.000Z,26,15.0,16.192307692307693,30.0,10.0,421.0
91994495,2024-11-09T13:17:21.000Z,17,10.0,12.352941176470589,15.0,10.0,210.0
91994995,2024-11-09T13:49:02.000Z,6,10.0,11.166666666666666,15.0,10.0,67.0
91995495,2024-11-09T14:21:00.000Z,19,10.0,33.68421052631579,150.0,10.0,640.0
91995995,2024-11-09T14:53:02.000Z,20,15.0,13.5,20.0,10.0,270.0
91996495,2024-11-09T15:25:20.000Z,12,25.0,22.916666666666668,30.0,15.0,275.0
91996995,2024-11-09T15:57:42.000Z,33,10.0,11.93939393939394,20.0,10.0,394.0
91997495,2024-11-09T16:30:12.000Z,29,10.0,11.96551724137931,20.0,10.0,347.0
91997995,2024-11-09T17:02:20.000Z,14,15.0,15.857142857142858,20.0,10.0,222.0
91998495,2024-11-09T17:34:51.000Z,16,15.0,21.875,150.0,10.0,350.0
91998995,2024-11-09T18:07:12.000Z,23,10.0,11.826086956521738,15.0,10.0,272.0
91999495,2024-11-09T18:39:40.000Z,14,10.0,11.0,20.0,10.0,154.0
91999995,2024-11-09T19:11:51.000Z,24,15.0,714.5833333333334,5900.0,10.0,17150.0
92000495,2024-11-09T19:43:51.000Z,16,15.0,13.875,15.0,10.0,222.0
92000995,2024-11-09T20:16:11.000Z,7,10.0,11.0,15.0,10.0,77.0
92001495,2024-11-09T20:48:42.000Z,23,15.0,15.217391304347826,30.0,10.0,350.0
92001995,2024-11-09T21:21:22.000Z,36,10.0,12.222222222222221,20.0,10.0,440.0
92002495,2024-11-09T21:53:41.000Z,12,10.0,11.666666666666666,20.0,10.0,140.0
92002995,2024-11-09T22:26:11.000Z,27,12.0,14.88888888888889,30.0,10.0,402.0
92003495,2024-11-09T22:58:41.000Z,40,10.0,18.025,100.0,10.0,721.0
92003995,2024-11-09T23:30:52.000Z,32,10.0,15.03125,150.0,10.0,481.0
92004495,2024-11-10T00:03:01.000Z,28,10.0,15.714285714285714,150.0,10.0,440.0
92004995,2024-11-10T00:35:10.000Z,11,15.0,14.909090909090908,20.0,10.0,164.0
92005495,2024-11-10T01:07:22.000Z,35,10.0,12.485714285714286,20.0,10.0,437.0
92005995,2024-11-10T01:39:50.000Z,34,10.0,14.411764705882353,100.0,10.0,490.0
92006495,2024-11-10T02:12:20.000Z,44,15.0,12.954545454545455,20.0,10.0,570.0
92006995,2024-11-10T02:44:22.000Z,35,10.0,12.142857142857142,20.0,10.0,425.0
92007495,2024-11-10T03:16:50.000Z,21,11.0,19.61904761904762,150.0,10.0,412.0
92007995,2024-11-10T03:49:01.000Z,28,15.0,18.571428571428573,150.0,10.0,520.0
92008495,2024-11-10T04:20:51.000Z,32,12.0,13.15625,20.0,10.0,421.0
92008995,2024-11-10T04:53:10.000Z,17,10.0,11.764705882352942,15.0,10.0,200.0
92009495,2024-11-10T05:25:42.000Z,36,15.0,17.555555555555557,150.0,10.0,632.0
92009995,2024-11-10T05:58:30.000Z,39,15.0,159.12820512820514,5304.0,10.0,6206.0
92010495,2024-11-10T06:30:51.000Z,18,18.0,52.111111111111114,150.0,10.0,938.0
92010995,2024-11-10T07:02:52.000Z,12,11.0,34.916666666666664,150.0,10.0,419.0
92011495,2024-11-10T07:34:50.000Z,10,15.0,15.0,20.0,10.0,150.0
92011995,2024-11-10T08:06:51.000Z,10,15.0,15.5,20.0,15.0,155.0
92012495,2024-11-10T08:39:00.000Z,10,15.0,14.2,20.0,10.0,142.0
92012995,2024-11-10T09:11:00.000Z,40,12.0,12.25,15.0,10.0,490.0
92013495,2024-11-10T09:43:22.000Z,22,10.0,12.272727272727273,20.0,10.0,270.0
92013995,2024-11-10T10:15:20.000Z,46,11.0,12.652173913043478,20.0,10.0,582.0
92014495,2024-11-10T10:47:11.000Z,24,15.0,14.25,20.0,10.0,342.0
92014995,2024-11-10T11:19:50.000Z,40,10.0,17.85,150.0,10.0,714.0
92015495,2024-11-10T11:52:30.000Z,5,15.0,15.0,20.0,10.0,75.0
92015995,2024-11-10T12:25:00.000Z,23,10.0,18.52173913043478,150.0,10.0,426.0
92016495,2024-11-10T12:57:51.000Z,38,15.0,29.68421052631579,221.0,10.0,1128.0
92016995,2024-11-10T13:31:00.000Z,29,15.0,27.103448275862068,221.0,10.0,786.0
92017495,2024-11-10T14:03:51.000Z,42,10.0,23.761904761904763,221.0,10.0,998.0
92017995,2024-11-10T14:36:21.000Z,55,10.0,24.418181818181818,150.0,10.0,1343.0
92018495,2024-11-10T15:09:11.000Z,40,15.0,13.55,30.0,10.0,542.0
92018995,2024-11-10T15:42:01.000Z,37,10.0,13.243243243243244,30.0,10.0,490.0
92019495,2024-11-10T16:14:40.000Z,34,15.0,324.4117647058824,5328.0,10.0,11030.0
92019995,2024-11-10T16:47:20.000Z,42,10.0,13.380952380952381,30.0,10.0,562.0
92020495,2024-11-10T17:20:00.000Z,22,12.0,14.272727272727273,30.0,10.0,314.0
92020995,2024-11-10T17:52:22.000Z,56,10.0,17.875,221.0,10.0,1001.0
92021495,2024-11-10T18:24:41.000Z,35,10.0,12.257142857142858,20.0,10.0,429.0
92021995,2024-11-10T18:57:20.000Z,43,15.0,19.558139534883722,150.0,10.0,841.0
92022495,2024-11-10T19:30:00.000Z,30,10.0,18.366666666666667,100.0,10.0,551.0
92022995,2024-11-10T20:02:41.000Z,44,12.0,31.5,221.0,10.0,1386.0
92023495,2024-11-10T20:35:31.000Z,18,15.0,31.666666666666668,150.0,10.0,570.0
92023995,2024-11-10T21:08:20.000Z,71,15.0,1114.2957746478874,5957.0,10.0,79115.0
92024495,2024-11-10T21:41:11.000Z,49,10.0,17.897959183673468,150.0,10.0,877.0
92024995,2024-11-10T22:13:50.000Z,27,10.0,12.074074074074074,20.0,10.0,326.0
92025495,2024-11-10T22:46:31.000Z,43,15.0,629.8604651162791,5359.0,10.0,27084.0
92025995,2024-11-10T23:18:52.000Z,15,15.0,12.933333333333334,15.0,10.0,194.0
92026495,2024-11-10T23:51:32.000Z,33,10.0,16.575757575757574,150.0,10.0,547.0
92026995,2024-11-11T00:24:22.000Z,30,15.0,20.7,221.0,10.0,621.0
92027495,2024-11-11T00:57:01.000Z,29,10.0,12.827586206896552,20.0,10.0,372.0
92027995,2024-11-11T01:29:11.000Z,23,15.0,13.695652173913043,20.0,10.0,315.0
92028495,2024-11-11T02:01:30.000Z,20,10.0,11.05,20.0,10.0,221.0
92028995,2024-11-11T02:34:00.000Z,32,10.0,16.15625,150.0,10.0,517.0
92029495,2024-11-11T03:06:01.000Z,23,10.0,13.695652173913043,70.0,10.0,315.0
92029995,2024-11-11T03:38:01.000Z,17,10.0,12.294117647058824,20.0,10.0,209.0
92030495,2024-11-11T04:10:10.000Z,36,15.0,12.63888888888889,15.0,10.0,455.0
92030995,2024-11-11T04:42:32.000Z,12,10.0,10.833333333333334,15.0,10.0,130.0
92031495,2024-11-11T05:14:20.000Z,22,15.0,50.36363636363637,150.0,10.0,1108.0
92031995,2024-11-11T05:46:41.000Z,26,15.0,14.807692307692308,20.0,10.0,385.0
92032495,2024-11-11T06:19:10.000Z,46,15.0,21.5,150.0,10.0,989.0
92032995,2024-11-11T06:51:12.000Z,29,15.0,21.482758620689655,221.0,10.0,623.0
